Geometric height,Geopotential height,temperature,pressure,density
34700,34512,245.196,608.29,0.00864275
34800,34610.9,245.493,599.969,0.00851422
34900,34709.9,245.79,591.772,0.00838775
35000,34808.8,246.086,583.697,0.00826332
35100,34907.7,246.383,575.741,0.00814088
35200,35006.6,246.68,567.904,0.0080204
35300,35105.5,246.976,560.183,0.00790185
35400,35204.4,247.273,552.576,0.0077852
35500,35303.3,247.57,545.082,0.00767041
35600,35402.2,247.867,537.698,0.00755745
35700,35501.1,248.163,530.424,0.00744629
35800,35600,248.46,523.256,0.0073369
35900,35698.8,248.757,516.194,0.00722925
36000,35797.7,249.053,509.236,0.0071233
36100,35896.6,249.35,502.379,0.00701903
36200,35995.5,249.646,495.624,0.00691642
36300,36094.3,249.943,488.967,0.00681542
36400,36193.2,250.24,482.407,0.00671603
36500,36292.1,250.536,475.944,0.0066182
36600,36390.9,250.833,469.574,0.00652191
36700,36489.8,251.129,463.298,0.00642713
36800,36588.7,251.426,457.113,0.00633385
36900,36687.5,251.723,451.017,0.00624203
37000,36786.4,252.019,445.01,0.00615165
37100,36885.2,252.316,439.091,0.00606268
37200,36984.1,252.612,433.257,0.00597511
37300,37082.9,252.909,427.507,0.0058889
37400,37181.7,253.205,421.841,0.00580404
37500,37280.6,253.502,416.256,0.0057205
37600,37379.4,253.798,410.752,0.00563827
37700,37478.2,254.095,405.327,0.00555731
37800,37577.1,254.391,399.98,0.00547761
37900,37675.9,254.688,394.71,0.00539914
38000,37774.7,254.984,389.515,0.00532189
38100,37873.5,255.281,384.395,0.00524584
38200,37972.3,255.577,379.349,0.00517096
38300,38071.1,255.873,374.374,0.00509724
38400,38169.9,256.17,369.47,0.00502466
38500,38268.7,256.466,364.637,0.00495319
38600,38367.5,256.763,359.872,0.00488282
38700,38466.3,257.059,355.175,0.00481353
38800,38565.1,257.355,350.545,0.00474531
38900,38663.9,257.652,345.98,0.00467813
39000,38762.7,257.948,341.48,0.00461199
39100,38861.5,258.244,337.044,0.00454685
39200,38960.3,258.541,332.671,0.00448271
39300,39059.1,258.837,328.359,0.00441954
39400,39157.8,259.134,324.109,0.00435734
39500,39256.6,259.43,319.918,0.00429609
39600,39355.4,259.726,315.786,0.00423577
39700,39454.1,260.022,311.713,0.00417636
39800,39552.9,260.319,307.696,0.00411786
39900,39651.7,260.615,303.736,0.00406024
40000,39750.4,260.911,299.832,0.00400349
40100,39849.2,261.208,295.982,0.0039476
40200,39947.9,261.504,292.186,0.00389256
40300,40046.7,261.8,288.443,0.00383835
40400,40145.4,262.096,284.752,0.00378495
40500,40244.2,262.393,281.112,0.00373235
40600,40342.9,262.689,277.524,0.00368055
40700,40441.6,262.985,273.985,0.00362953
40800,40540.4,263.281,270.495,0.00357927
40900,40639.1,263.577,267.054,0.00352976
41000,40737.8,263.874,263.66,0.00348099
41100,40836.6,264.17,260.313,0.00343295
41200,40935.3,264.466,257.013,0.00338563
41300,41034,264.762,253.758,0.00333902
41400,41132.7,265.058,250.548,0.0032931
41500,41231.4,265.354,247.382,0.00324786
41600,41330.1,265.65,244.26,0.00320329
41700,41428.8,265.947,241.181,0.00315939
41800,41527.5,266.243,238.144,0.00311614
41900,41626.2,266.539,235.149,0.00307352
42000,41724.9,266.835,232.194,0.00303154
42100,41823.6,267.131,229.28,0.00299018
42200,41922.3,267.427,226.406,0.00294943
42300,42021,267.723,223.571,0.00290928
42400,42119.7,268.019,220.775,0.00286972
42500,42218.4,268.315,218.017,0.00283074
42600,42317,268.611,215.297,0.00279234
42700,42415.7,268.907,212.613,0.0027545
42800,42514.4,269.203,209.966,0.00271721
42900,42613.1,269.499,207.355,0.00268047
43000,42711.7,269.795,204.779,0.00264427
43100,42810.4,270.091,202.238,0.00260859
43200,42909,270.387,199.731,0.00257344
43300,43007.7,270.683,197.258,0.0025388
43400,43106.4,270.979,194.819,0.00250466
43500,43205,271.275,192.412,0.00247102
43600,43303.7,271.571,190.038,0.00243787
43700,43402.3,271.867,187.695,0.0024052
43800,43500.9,272.163,185.384,0.00237301
43900,43599.6,272.459,183.104,0.00234128
44000,43698.2,272.755,180.855,0.00231
44100,43796.8,273.051,178.636,0.00227919
44200,43895.5,273.346,176.446,0.00224881
44300,43994.1,273.642,174.286,0.00221887
44400,44092.7,273.938,172.154,0.00218937
44500,44191.3,274.234,170.051,0.00216029
44600,44289.9,274.53,167.975,0.00213163
44700,44388.6,274.826,165.928,0.00210337
44800,44487.2,275.122,163.907,0.00207553
44900,44585.8,275.417,161.914,0.00204808
45000,44684.4,275.713,159.946,0.00202103
45100,44783,276.009,158.005,0.00199436
45200,44881.6,276.305,156.09,0.00196807
45300,44980.2,276.601,154.199,0.00194216
45400,45078.8,276.896,152.334,0.00191661
45500,45177.4,277.192,150.493,0.00189143
45600,45275.9,277.488,148.677,0.00186661
45700,45374.5,277.784,146.884,0.00184214
45800,45473.1,278.079,145.115,0.00181802
45900,45571.7,278.375,143.369,0.00179424
46000,45670.3,278.671,141.646,0.00177079
46100,45768.8,278.966,139.946,0.00174768
46200,45867.4,279.262,138.268,0.00172489
46300,45966,279.558,136.611,0.00170243
46400,46064.5,279.854,134.977,0.00168028
46500,46163.1,280.149,133.363,0.00165844
46600,46261.6,280.445,131.771,0.00163691
46700,46360.2,280.741,130.199,0.00161569
46800,46458.7,281.036,128.648,0.00159476
46900,46557.3,281.332,127.117,0.00157412
